hour_route_key,weekday,date,count
18 6 N,true,2016-03-23,17
19 6 S,true,2016-03-23,12
19 5 N,true,2016-03-23,7
19 5 S,true,2016-03-23,6
19 4 S,true,2016-03-23,9
19 4 N,true,2016-03-23,10
19 6 N,true,2016-03-23,16
20 5 S,true,2016-03-23,5
20 6 S,true,2016-03-23,11
20 4 N,true,2016-03-23,11
20 4 S,true,2016-03-23,7
20 5 N,true,2016-03-23,6
20 6 N,true,2016-03-23,9
21 5 S,true,2016-03-23,6
21 5 N,true,2016-03-23,8
21 6 S,true,2016-03-23,9
21 4 S,true,2016-03-23,7
21 4 N,true,2016-03-23,8
21 6 N,true,2016-03-23,12
22 6 S,true,2016-03-23,8
22 5 S,true,2016-03-23,5
22 4 S,true,2016-03-23,6
22 4 N,true,2016-03-23,7
22 5 N,true,2016-03-23,6
22 6 N,true,2016-03-23,8
23 6 S,true,2016-03-23,6
23 4 S,true,2016-03-23,5
23 4 N,true,2016-03-23,5
23 6 N,true,2016-03-23,7
23 5 N,true,2016-03-23,2
